DEM,REP,GRN,LIB,WCP,BAR,UNAF,OTH,TOTAL,,"CONFMAILING",INACTIVE,
12844,22530,73,197,13,19,7724,391,"43,791",,0,2841,
174478,135564,546,1797,165,105,90602,2734,"405,991",,2,26300,
309855,29760,757,876,199,114,51670,3241,"396,472",,0,21866,
313060,142352,869,2129,224,137,100948,5902,"565,621",,0,33917,
24554,28140,79,315,24,20,14269,576,"67,977",,0,4067,
6625,10015,33,86,13,2,4244,164,"21,182",,0,987,
33730,64349,149,632,27,29,26136,1082,"126,134",,0,6753,
21627,30794,98,312,43,7,15238,732,"68,851",,0,6326,
72644,24690,110,331,68,21,19960,766,"118,590",,0,8488,
9806,8723,19,71,12,4,3360,147,"22,142",,0,1064,
72355,69012,261,891,58,56,43375,785,"186,793",,0,11546,
4014,13376,21,80,10,5,2612,155,"20,273",,0,1200,
66365,80275,215,907,54,50,38285,1540,"187,691",,0,10635,
119270,53017,300,762,47,50,52435,2079,"227,960",,0,11973,
5993,4982,18,48,9,2,2291,117,"13,460",,0,796,
410540,105840,984,1909,172,165,148284,5959,"673,853",,0,76101,
472523,39582,649,1068,202,139,76989,11396,"602,548",,0,34368,
11086,18987,39,181,7,4,7213,285,"37,802",,0,1752,
26366,30567,93,354,29,19,15677,605,"73,710",,0,7350,
5683,5705,18,45,7,4,2060,93,"13,615",,0,518,
10729,11708,27,118,10,4,5187,254,"28,037",,0,1340,
32796,44155,119,485,38,25,20687,901,"99,206",,0,9177,
27107,23659,87,299,31,14,12343,644,"64,184",,0,3876,
14049,18249,49,166,7,8,7612,433,"40,573",,0,2666,
"2,258,099","1,016,031","5,613","14,059","1,469","1,003","769,201","40,981","4,106,456",,2,"285,907",
