zip,total,grand_total,percent
20106,100,20328513.18,4.919198916051764e-4
20109,250,20328513.18,0.001229799729012941
20111,75,20328513.18,3.689399187038823e-4
20130,27.5,20328513.18,1.352779701914235e-4
20137,1010,20328513.18,0.004968390905212282
20143,75,20328513.18,3.689399187038823e-4
20145,120,20328513.18,5.903038699262117e-4
20146,52,20328513.18,2.557983436346918e-4
20147,250,20328513.18,0.001229799729012941
20155,634,20328513.18,0.003118772112776818
20172,750,20328513.18,0.003689399187038823
20175,50,20328513.18,2.459599458025882e-4
20184,857,20328513.18,0.0042157534710563615
20185,29345,20328513.18,0.14435389219153902
20186,20,20328513.18,9.838397832103528e-5
20190,1135,20328513.18,0.005583290769718753
20193,75,20328513.18,3.689399187038823e-4
20194,25,20328513.18,1.229799729012941e-4
20201,25,20328513.18,1.229799729012941e-4
20207,1000,20328513.18,0.004919198916051764
20227,25,20328513.18,1.229799729012941e-4
20236,314.5,20328513.18,0.00154708805909828
20406,19,20328513.18,9.346477940498352e-5
20409,165,20328513.18,8.116678211485411e-4
20417,90,20328513.18,4.427279024446588e-4
20464,25,20328513.18,1.229799729012941e-4
20475,20,20328513.18,9.838397832103528e-5
20507,35,20328513.18,1.7217196206181174e-4
20509,25,20328513.18,1.229799729012941e-4
20518,15,20328513.18,7.378798374077646e-5
20580,521,20328513.18,0.002562902635262969
20601,26617.81,20328513.18,0.1309383020996718
20602,10456.44,20328513.18,0.05143730831376031
20603,41199.67,20328513.18,0.20266937200569038
20604,541,20328513.18,0.0026612866135840045
20606,16.5,20328513.18,8.116678211485411e-5
20607,20866.61,20328513.18,0.1026470052936749
20608,305.5,20328513.18,0.001502815268853814
20609,148,20328513.18,7.28041439575661e-4
20610,80.88,20328513.18,3.9786480833026665e-4
20613,13728.93,20328513.18,0.06753533757455055
20614,5,20328513.18,2.459599458025882e-5
20615,81.5,20328513.18,4.0091471165821873e-4
20616,4124.56,20328513.18,0.020289531081190467
20617,1209.7,20328513.18,0.005950754928747819
20618,606.5,20328513.18,0.002983494142585395
20619,7242.92,20328513.18,0.035629364213049644
20620,755.5,20328513.18,0.0037164547810771076
20621,29,20328513.18,1.4265676856550116e-4
20622,1011.5,20328513.18,0.00497576970358636
20623,3668.56,20328513.18,0.01804637637547086
20624,139.5,20328513.18,6.862282487892211e-4
20625,1323.26,20328513.18,0.006509379157654658
20626,602.5,20328513.18,0.0029638173469211876
20628,5149,20328513.18,0.025328955218750532
20629,425,20328513.18,0.0020906595393219997
20630,325,20328513.18,0.0015987396477168234
20634,5724.86,20328513.18,0.028161725106548102
20636,10881.22,20328513.18,0.05352688562932078
20637,4259.2,20328513.18,0.020951852023247675
20639,20916.44,20328513.18,0.10289212897566175
20640,3346.04,20328513.18,0.016459836341065844
20645,90,20328513.18,4.427279024446588e-4
20646,17083.51,20328513.18,0.08403718387435946
20647,10,20328513.18,4.919198916051764e-5
20650,15514.9,20328513.18,0.0763208792626515
20653,14846.55,20328513.18,0.07303313266710831
20657,21773.5,20328513.18,0.10710817759865308
20658,1210.68,20328513.18,0.00595557574368555
20659,8196.36,20328513.18,0.04031952522757004
20662,1315.18,20328513.18,0.006469632030412959
20664,2169,20328513.18,0.010669742448916275
20667,428.5,20328513.18,0.0021078767355281807
20670,211,20328513.18,0.0010379509712869224
20674,1663.22,20328513.18,0.008181710021155615
