zip,county,usps_zip_pref_city,usps_zip_pref_state,res_ratio,bus_ratio,oth_ratio,tot_ratio
00683,72125,SAN GERMAN,PR,0.953036053,0.996655518,0.980769231,0.956300444
00683,72079,SAN GERMAN,PR,0.000948767,0.000000000,0.000000000,0.000872537
00683,72023,SAN GERMAN,PR,0.000790639,0.001114827,0.000000000,0.000799825
00683,72097,SAN GERMAN,PR,0.000158128,0.000000000,0.000000000,0.000145423
00683,72121,SAN GERMAN,PR,0.045066414,0.002229654,0.019230769,0.041881771
00923,72127,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
01010,25013,BRIMFIELD,MA,0.976895735,1.000000000,1.000000000,0.977815700
01010,25027,BRIMFIELD,MA,0.023104265,0.000000000,0.000000000,0.022184300
01257,25003,SHEFFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
01267,25003,WILLIAMSTOWN,MA,1.000000000,1.000000000,1.000000000,1.000000000
01331,25011,ATHOL,MA,0.001582779,0.002409639,0.000000000,0.001562722
01331,25027,ATHOL,MA,0.998417221,0.997590361,1.000000000,0.998437278
01339,25015,CHARLEMONT,MA,0.011056511,0.000000000,0.000000000,0.010714286
01339,25011,CHARLEMONT,MA,0.988943489,1.000000000,1.000000000,0.989285714
01469,25017,TOWNSEND,MA,1.000000000,1.000000000,1.000000000,1.000000000
02027,25021,DEDHAM,MA,1.000000000,1.000000000,1.000000000,1.000000000
02120,25025,ROXBURY CROSSING,MA,1.000000000,1.000000000,1.000000000,1.000000000
02128,25025,EAST BOSTON,MA,1.000000000,1.000000000,1.000000000,1.000000000
02199,25025,BOSTON,MA,1.000000000,1.000000000,1.000000000,1.000000000
02361,25023,PLYMOUTH,MA,1.000000000,1.000000000,1.000000000,1.000000000
02664,25001,SOUTH YARMOUTH,MA,1.000000000,1.000000000,1.000000000,1.000000000
02668,25001,WEST BARNSTABLE,MA,1.000000000,1.000000000,1.000000000,1.000000000
02648,25001,MARSTONS MILLS,MA,1.000000000,1.000000000,1.000000000,1.000000000
02739,25023,MATTAPOISETT,MA,1.000000000,1.000000000,1.000000000,1.000000000
02895,44007,WOONSOCKET,RI,1.000000000,1.000000000,1.000000000,1.000000000
03281,33011,WEARE,NH,0.999183007,1.000000000,1.000000000,0.999230375
03281,33013,WEARE,NH,0.000816993,0.000000000,0.000000000,0.000769625
03743,33019,CLAREMONT,NH,1.000000000,1.000000000,1.000000000,1.000000000
03592,33007,PITTSBURG,NH,1.000000000,1.000000000,1.000000000,1.000000000
03605,33019,LEMPSTER,NH,1.000000000,1.000000000,1.000000000,1.000000000
03886,33003,TAMWORTH,NH,1.000000000,1.000000000,1.000000000,1.000000000
03884,33017,STRAFFORD,NH,0.998843931,1.000000000,1.000000000,0.998869418
03884,33015,STRAFFORD,NH,0.001156069,0.000000000,0.000000000,0.001130582
04357,23023,RICHMOND,ME,0.999422299,1.000000000,1.000000000,0.999473684
04357,23011,RICHMOND,ME,0.000577701,0.000000000,0.000000000,0.000526316
04649,23029,JONESPORT,ME,1.000000000,1.000000000,1.000000000,1.000000000
04627,23009,DEER ISLE,ME,1.000000000,1.000000000,1.000000000,1.000000000
04562,23023,PHIPPSBURG,ME,1.000000000,1.000000000,1.000000000,1.000000000
04921,23027,BROOKS,ME,0.995127893,1.000000000,1.000000000,0.995294118
04921,23019,BROOKS,ME,0.004872107,0.000000000,0.000000000,0.004705882
04548,23023,GEORGETOWN,ME,1.000000000,1.000000000,1.000000000,1.000000000
05038,50017,CHELSEA,VT,1.000000000,1.000000000,1.000000000,1.000000000
05474,50013,NORTH HERO,VT,1.000000000,1.000000000,1.000000000,1.000000000
05679,50017,WILLIAMSTOWN,VT,1.000000000,1.000000000,1.000000000,1.000000000
05651,50023,EAST MONTPELIER,VT,1.000000000,1.000000000,1.000000000,1.000000000
05763,50021,PITTSFORD,VT,1.000000000,1.000000000,1.000000000,1.000000000
05738,50021,CUTTINGSVILLE,VT,1.000000000,1.000000000,1.000000000,1.000000000
05874,50019,WESTFIELD,VT,1.000000000,1.000000000,1.000000000,1.000000000
06042,09013,MANCHESTER,CT,0.000275002,0.000000000,0.000000000,0.000229165
06042,09003,MANCHESTER,CT,0.999724998,1.000000000,1.000000000,0.999770835
06052,09003,NEW BRITAIN,CT,1.000000000,1.000000000,1.000000000,1.000000000
06010,09005,BRISTOL,CT,0.000108460,0.000000000,0.000000000,0.000096525
06010,09003,BRISTOL,CT,0.999891540,1.000000000,1.000000000,0.999903475
05905,50009,GUILDHALL,VT,1.000000000,1.000000000,0.000000000,1.000000000
06060,09003,NORTH GRANBY,CT,1.000000000,1.000000000,1.000000000,1.000000000
06078,09003,SUFFIELD,CT,1.000000000,1.000000000,1.000000000,1.000000000
06108,09003,EAST HARTFORD,CT,1.000000000,1.000000000,1.000000000,1.000000000
06468,09001,MONROE,CT,1.000000000,1.000000000,1.000000000,1.000000000
06787,09005,THOMASTON,CT,1.000000000,1.000000000,1.000000000,1.000000000
