contributor_zip,total,NAME,variable,estimate,moe
27006,800,ZCTA5 27006,income,14329,801
27011,75,ZCTA5 27011,income,5201,466
27012,2559.5,ZCTA5 27012,income,28334,953
27017,250,ZCTA5 27017,income,9144,631
27023,52.25,ZCTA5 27023,income,12728,643
27028,1.25,ZCTA5 27028,income,26465,943
27030,450,ZCTA5 27030,income,35575,1042
27040,1.25,ZCTA5 27040,income,12519,751
27101,6850,ZCTA5 27101,income,19713,1078
27103,6508.75,ZCTA5 27103,income,34688,1406
27104,19526.1,ZCTA5 27104,income,28402,1064
27105,250,ZCTA5 27105,income,40134,1717
27106,5962.5,ZCTA5 27106,income,48709,1375
27107,250,ZCTA5 27107,income,48000,1687
27127,17500,ZCTA5 27127,income,40511,1382
27203,386.83,ZCTA5 27203,income,20983,782
27205,1500,ZCTA5 27205,income,34805,1321
27214,5000,ZCTA5 27214,income,11825,1087
27215,2991.25,ZCTA5 27215,income,42331,1097
27235,3800,ZCTA5 27235,income,4443,571
27253,750,ZCTA5 27253,income,30573,818
27260,142.5,ZCTA5 27260,income,25505,984
27262,800,ZCTA5 27262,income,24510,1299
27265,461.25,ZCTA5 27265,income,51477,1526
27278,6015,ZCTA5 27278,income,26884,1163
27282,400,ZCTA5 27282,income,17090,1089
27284,10,ZCTA5 27284,income,55489,1397
27298,150,ZCTA5 27298,income,10925,849
27302,2952.5,ZCTA5 27302,income,31280,1413
27310,1650,ZCTA5 27310,income,7253,318
27312,44290,ZCTA5 27312,income,20508,956
27326,250,ZCTA5 27326,income,2900,417
27330,4200,ZCTA5 27330,income,40121,1079
27344,250,ZCTA5 27344,income,19116,787
27349,100,ZCTA5 27349,income,5825,589
27350,500,ZCTA5 27350,income,6412,814
27358,250,ZCTA5 27358,income,15028,665
27360,477.5,ZCTA5 27360,income,45974,1284
27376,2976.25,ZCTA5 27376,income,9802,989
27377,252.5,ZCTA5 27377,income,8612,1259
27403,2230,ZCTA5 27403,income,22867,971
27406,350,ZCTA5 27406,income,63199,2554
27407,3685.25,ZCTA5 27407,income,51900,1831
27408,26050,ZCTA5 27408,income,18323,751
27409,2000,ZCTA5 27409,income,17223,1263
27410,7800,ZCTA5 27410,income,55707,1643
27455,700,ZCTA5 27455,income,28791,1288
27502,6345,ZCTA5 27502,income,41455,831
27503,1100,ZCTA5 27503,income,6377,922
27508,500,ZCTA5 27508,income,1413,397
27510,8930.75,ZCTA5 27510,income,15117,554
27511,13746.15,ZCTA5 27511,income,34078,974
27513,28537.03,ZCTA5 27513,income,45542,1080
27514,109497.89,ZCTA5 27514,income,33208,1034
27516,49926.24,ZCTA5 27516,income,43036,1254
27517,69073,ZCTA5 27517,income,25355,869
27518,14125,ZCTA5 27518,income,20102,780
27519,8223.75,ZCTA5 27519,income,56482,1114
27520,1000,ZCTA5 27520,income,42387,1891
27522,250,ZCTA5 27522,income,12552,870
27523,275,ZCTA5 27523,income,12441,1107
27524,10000,ZCTA5 27524,income,13675,1106
27525,2405,ZCTA5 27525,income,14819,1028
27526,1253.28,ZCTA5 27526,income,48581,1782
27529,480,ZCTA5 27529,income,50683,1935
27530,250,ZCTA5 27530,income,38940,1627
27536,60,ZCTA5 27536,income,16522,545
27539,30,ZCTA5 27539,income,23970,1384
27540,8800,ZCTA5 27540,income,39675,899
27545,1154.5,ZCTA5 27545,income,28676,1216
27546,1250,ZCTA5 27546,income,21129,1036
27549,7990.4,ZCTA5 27549,income,26716,1373
27559,250,ZCTA5 27559,income,2622,558
27560,500,ZCTA5 27560,income,35800,1079
27565,610,ZCTA5 27565,income,25127,992
27569,1541.96,ZCTA5 27569,income,7993,1040
27571,250,ZCTA5 27571,income,7407,207
27572,56.25,ZCTA5 27572,income,7081,676
27573,250,ZCTA5 27573,income,11391,682
27574,725,ZCTA5 27574,income,14036,854
27576,500,ZCTA5 27576,income,18222,1144
27577,1750,ZCTA5 27577,income,26875,1276
27587,3080.5,ZCTA5 27587,income,68491,1380
27592,305,ZCTA5 27592,income,15972,1386
27596,1050,ZCTA5 27596,income,18043,1166
27597,4200,ZCTA5 27597,income,24691,1629
27601,5085.38,ZCTA5 27601,income,10525,638
27603,4384.97,ZCTA5 27603,income,54457,2066
27604,12832.75,ZCTA5 27604,income,48494,1833
27605,18210,ZCTA5 27605,income,5990,462
27606,15093.11,ZCTA5 27606,income,47478,1574
27607,22621.25,ZCTA5 27607,income,28874,1128
27608,64577.5,ZCTA5 27608,income,11203,606
27609,47334.33,ZCTA5 27609,income,33575,1400
27610,2955,ZCTA5 27610,income,79924,2136
27612,33086.5,ZCTA5 27612,income,39989,1417
27613,6775,ZCTA5 27613,income,42324,1398
27614,23102.5,ZCTA5 27614,income,32849,1177
27615,15755,ZCTA5 27615,income,43950,1266
27616,6.25,ZCTA5 27616,income,55128,2147
27617,752.5,ZCTA5 27617,income,20281,920
27701,22479.5,ZCTA5 27701,income,23112,1186
27703,7116,ZCTA5 27703,income,53733,2036
27704,1727.8,ZCTA5 27704,income,40392,2027
27705,99553.65,ZCTA5 27705,income,49508,1523
27707,42099.09,ZCTA5 27707,income,51414,2005
27709,12100,ZCTA5 27709,income,1152,461
27712,1390,ZCTA5 27712,income,21301,1023
27713,15286.2,ZCTA5 27713,income,54348,1518
27801,280.25,ZCTA5 27801,income,20065,565
27803,4050,ZCTA5 27803,income,17905,1143
27804,2175,ZCTA5 27804,income,29519,912
27808,1870,ZCTA5 27808,income,2066,276
27816,1050,ZCTA5 27816,income,2125,437
27822,285,ZCTA5 27822,income,8225,739
27834,375,ZCTA5 27834,income,57258,1613
27839,2629.3500000000004,ZCTA5 27839,income,3479,404
27842,2100,ZCTA5 27842,income,1446,188
27850,3150,ZCTA5 27850,income,7410,512
27851,2068.75,ZCTA5 27851,income,5458,557
27858,11327.5,ZCTA5 27858,income,59182,1689
27874,10,ZCTA5 27874,income,3837,493
27882,500,ZCTA5 27882,income,7972,937
27889,200,ZCTA5 27889,income,26637,954
27891,2.5,ZCTA5 27891,income,5036,538
27893,590,ZCTA5 27893,income,39531,1258
27896,27.5,ZCTA5 27896,income,20791,1302
27909,1656.25,ZCTA5 27909,income,39551,34
27916,12.5,ZCTA5 27916,income,860,271
27932,100,ZCTA5 27932,income,12129,420
27939,110,ZCTA5 27939,income,2862,482
27943,2.5,ZCTA5 27943,income,460,238
27948,43,ZCTA5 27948,income,11245,480
27949,11520.5,ZCTA5 27949,income,7648,182
27954,750,ZCTA5 27954,income,7938,490
27958,500,ZCTA5 27958,income,11354,612
27959,500,ZCTA5 27959,income,2938,22
27960,550,ZCTA5 27960,income,706,344
27970,250,ZCTA5 27970,income,2446,465
28001,361,ZCTA5 28001,income,26557,655
28012,4.5,ZCTA5 28012,income,23830,868
28023,540,ZCTA5 28023,income,16129,1112
28025,13535,ZCTA5 28025,income,54425,1778
28027,385,ZCTA5 28027,income,68716,1783
28031,1983.57,ZCTA5 28031,income,28077,569
28034,525,ZCTA5 28034,income,17386,966
28036,1506.25,ZCTA5 28036,income,18266,622
28037,850,ZCTA5 28037,income,20619,778
28056,5,ZCTA5 28056,income,34373,1064
28075,10,ZCTA5 28075,income,19099,556
28081,300,ZCTA5 28081,income,28116,1284
28086,1477.5,ZCTA5 28086,income,25436,1022
28091,250,ZCTA5 28091,income,1975,341
28103,1.25,ZCTA5 28103,income,11281,861
28104,254.5,ZCTA5 28104,income,31773,763
28105,675,ZCTA5 28105,income,46180,1095
28110,6.25,ZCTA5 28110,income,53733,1089
28112,300,ZCTA5 28112,income,26831,1172
28117,1184.5,ZCTA5 28117,income,40855,1109
28120,2.5,ZCTA5 28120,income,21582,814
