contributor_zip,estimate,total
01230,8354,4.5
01520,16059,4.5
01540,11679,3.75
02021,23615,4.5
02575,2197,60
02719,16072,0.25
02865,17876,2.5
03049,7973,11.25
03835,6952,27
03894,6289,15
03904,8068,15
04027,6324,220.5
04103,30628,100
04254,3176,3.75
04901,26951,78.8
04945,1117,250
06001,18410,2.5
06371,9642,10000
06488,19619,20000
06513,39403,11.25
06611,35907,45
06759,5592,11.25
06830,24557,10000
06890,4540,10000
07059,15699,11.25
07065,29691,6.25
07079,16795,21.75
07093,64062,3.75
07405,17657,12.5
07430,26225,20
07442,10998,5.55
07480,15377,10
08005,24444,750
08071,9381,3.75
08096,35187,140
08619,22416,7.5
08648,31819,2.5
08882,15783,18.75
10003,54671,1440
10018,8135,10000
10021,42253,650
10022,31574,20000
10028,47962,547.5
10065,30339,500
10152,0,10000
10304,42133,10
10504,8053,358
10992,8830,23.75
11050,30699,10000
11375,72615,1
11768,20903,7
11779,38091,3.75
11783,21285,750
11934,7357,13.5
11955,3149,75
11967,29130,51
12078,22956,6
12585,928,2000
12776,2361,9
12962,5084,3.75
13035,8707,56.25
13203,16876,15
13437,326,450
13440,41342,11.25
14059,10446,0.25
14456,19539,10
14487,5997,6
14618,23252,5000
14623,24720,231.25
14712,3051,1.25
14782,2272,15
14895,8957,3.75
15478,5554,35
16127,15263,15
16137,12769,12.25
16668,3381,2.5
17003,12565,26.25
17018,4299,1
17331,52219,43.75
18020,21196,2.5
18040,16790,225
18344,3780,9
18630,3086,8.75
18969,14930,3.75
19014,21012,6.25
19115,35504,3.75
19454,27562,10
19702,54980,22.3
19806,9313,10
19808,38106,6
20001,47697,20000
20002,69141,856500
20003,33584,2114156.32
20004,1885,5000
20006,2830,5000
20015,16113,250
20105,27526,100
20165,33290,7.5
20170,43610,1003
20175,35429,10
20744,54572,10.3
20877,37948,37.5
20886,34887,300
21009,31683,12.25
21015,28975,20
21061,55020,10
21093,38245,23
21122,59664,3.75
21144,35680,11.25
21146,27634,2.5
21236,37803,12.15
21655,4763,190
22003,58252,7.5
22025,19634,11.25
22066,17393,350
22152,30314,18
22193,82060,0.25
22314,35208,9030
22974,5180,4.5
23059,39602,177
23113,25387,20000
23141,7550,6.25
23188,44561,700
23235,31778,550
23602,39714,1.25
23606,28222,7.5
23803,37939,1.25
23831,35986,0.25
23878,1385,350
23894,995,45
24013,8022,0.25
24153,37801,3.75
24354,14137,9
26041,15585,13.5
26624,3137,11.25
27006,15320,5665
27009,3341,3770
27012,28051,2226.25
27013,6120,2005
27016,1440,240
27018,8337,1636
27020,6091,300
27021,17286,385
27023,13418,600
27025,11346,30
27027,4194,5
27028,25865,3775
27030,35421,2250
27040,12670,2810
27041,7772,7560
27042,284,500
27045,10011,315
27051,7108,1083.5
27052,10425,400
27054,2118,500
27055,14239,2400
27103,35057,4380
27104,29318,44245
27106,47332,64407.8
27107,48420,2715
27127,41398,4776
27201,82,7.5
27203,21783,1300
27205,36294,6962.5
27214,12421,1050
27215,43187,7590.25
27217,38587,1535.38
27231,2224,300
27235,4609,600
27239,8693,840
27243,4958,800
27249,12825,1585
27252,1665,8.75
27253,31046,450
