contributor_zip,total,NAME,variable,estimate,moe
27006,5665,ZCTA5 27006,income,14329,801
27009,3770,ZCTA5 27009,income,3002,452
27012,2226.25,ZCTA5 27012,income,28334,953
27013,2005,ZCTA5 27013,income,5814,712
27016,240,ZCTA5 27016,income,1339,240
27018,1636,ZCTA5 27018,income,8204,591
27020,300,ZCTA5 27020,income,6205,640
27021,385,ZCTA5 27021,income,17489,884
27023,600,ZCTA5 27023,income,12728,643
27025,30,ZCTA5 27025,income,10937,1010
27027,5,ZCTA5 27027,income,4190,349
27028,3775,ZCTA5 27028,income,26465,943
27030,2250,ZCTA5 27030,income,35575,1042
27040,2810,ZCTA5 27040,income,12519,751
27041,7560,ZCTA5 27041,income,7951,760
27042,500,ZCTA5 27042,income,606,304
27045,315,ZCTA5 27045,income,9552,639
27051,1083.5,ZCTA5 27051,income,7641,573
27052,400,ZCTA5 27052,income,10383,694
27054,500,ZCTA5 27054,income,2725,588
27055,2400,ZCTA5 27055,income,13145,615
27103,4380,ZCTA5 27103,income,34688,1406
27104,44245,ZCTA5 27104,income,28402,1064
27106,64407.8,ZCTA5 27106,income,48709,1375
27107,2715,ZCTA5 27107,income,48000,1687
27127,4776,ZCTA5 27127,income,40511,1382
27201,7.5,ZCTA5 27201,income,66,42
27203,1300,ZCTA5 27203,income,20983,782
27205,6962.5,ZCTA5 27205,income,34805,1321
27214,1050,ZCTA5 27214,income,11825,1087
27215,7590.25,ZCTA5 27215,income,42331,1097
27217,1535.38,ZCTA5 27217,income,37099,1280
27231,300,ZCTA5 27231,income,2020,233
27235,600,ZCTA5 27235,income,4443,571
27239,840,ZCTA5 27239,income,9562,961
27243,800,ZCTA5 27243,income,4369,666
27249,1585,ZCTA5 27249,income,11882,1015
27252,8.75,ZCTA5 27252,income,1669,489
27253,450,ZCTA5 27253,income,30573,818
27258,1875,ZCTA5 27258,income,7370,697
27260,1640.4,ZCTA5 27260,income,25505,984
27262,14672.5,ZCTA5 27262,income,24510,1299
27263,2345,ZCTA5 27263,income,21886,925
27265,7799,ZCTA5 27265,income,51477,1526
27278,19498.25,ZCTA5 27278,income,26884,1163
27281,3150,ZCTA5 27281,income,3433,674
27282,15371,ZCTA5 27282,income,17090,1089
27283,375,ZCTA5 27283,income,3194,487
27284,709,ZCTA5 27284,income,55489,1397
27288,385,ZCTA5 27288,income,23436,726
27292,5,ZCTA5 27292,income,39360,1156
27295,2550,ZCTA5 27295,income,38255,1389
27302,1525,ZCTA5 27302,income,31280,1413
